ABIRATERONE	2174974
DEXCHLORPHENIRAMINE	3084925;4977559;3084919;3084894;3019454
DEXMEDETOMIDINE	5825432
DEXTROMETHORPHANE	3550913;3366227;3782888;3798553;3798599;3567405;3433432;3311692;3785295;3628555;3433449;3285256;3785289;4155805;4973053;3479581;3562247;3622676;3353348;3418556;3563057;3622682;4151322
DI(ACEFYLLINE) DIPHENHYDRAMINE	3070308
DIAZEPAM	3111303;3253090;3111272;3253115;3111266;3111243;3111289;3253109
DICITRATE TRIMAGNESIEN	4989054;3632686;3566914;3385360
DICLOFENAC	3291073;3513680;3482904;3291110;3491530;5556015;3658266;3364926;3245222;3526547;3482910;3436241;3574115;3221434;3513674;3526429;3538869;3766607;3235117;3246049;3189529;3359351;3538852;3359204;3223953;3381445;3594112
DIDANOSINE	3537433;3537456;3537427;3537278
DIENOGEST	3909490;3576232;3909484
DIETHYLSTILBESTROL	3213682
DIGOXINE	3346609;3116341;3031389;3348904
DIHEXYVERINE	3098821
DIHYDROCODEINE	3316726;3368479
DIHYDROERGOTAMINE	3218998;3392874;3473822;3207351;3241141;3643833;3646317;3227141;3340624;3643810;3643862;3210643
DILTIAZEM	3357211;3540524;3614665;3475784;3659722;3475778;4900545;3689284;4900172;3400935;4901036;3634449;3319914;3425935;3324418;3773381;3689321;4900640;3459555;3634426;3238179;3404554;3379810;4900700;3615995;4900278;3722308;3541417;3722998;3400929;3712480;3540553;3459532;3459549;3379862;3425711;3722981;3426231;3360845;3614659;4900657;3722283;3616003;3348123;3357228;3489214;3425970;3689433
DIMENHYDRINATE	3066100;3421481;3276056;3359492
